Size,aes11,aes12,aes14,rocca11,rocca13,rocca16
3891,18.464775511356926,13.376835676829426,10.335239889929152,9.05596384363232,5.698625236420862,3.4897838756974817
3892,18.469230772196187,13.379997364181202,10.33756114749934,9.057637121493912,5.699615114854286,3.490290134530894
3893,18.473685956174826,13.383158968992849,10.339882334845653,9.059310358483334,5.700604961687896,3.4907964302690564
3894,18.478141063264523,13.386320491223001,10.342203451950757,9.060983554605166,5.701594776896383,3.4913027629020035
3895,18.482596093436964,13.389481930830298,10.344524498797334,9.062656709863983,5.702584560454435,3.4918091324197693
3896,18.487051046663826,13.392643287773373,10.34684547536805,9.064329824264364,5.703574312336741,3.492315538812387
3897,18.491505922916794,13.395804562010863,10.349166381645587,9.066002897810883,5.704564032517993,3.492821982069893
3898,18.49596072216755,13.398965753501406,10.35148721761261,9.067675930508116,5.70555372097288,3.49332846218232
3899,18.500415444387777,13.402126862203636,10.353807983251798,9.069348922360641,5.706543377676089,3.4938349791397028
3900,18.50487008954915,13.405287888076192,10.35612867854582,9.071021873373034,5.707533002602314,3.494341532932075
3901,18.509324657623356,13.408448831077708,10.358449303477357,9.07269478354987,5.708522595726241,3.4948481235494713
3902,18.513779148582078,13.411609691166824,10.360769858029077,9.074367652895727,5.7095121570225595,3.495354750981926
3903,18.51823356239699,13.414770468302173,10.363090342183655,9.07604048141518,5.710501686465962,3.4958614152194727
3904,18.522687899039784,13.417931162442391,10.365410755923765,9.07771326911281,5.711491184031135,3.4963681162521465
3905,18.527142158482135,13.421091773546117,10.36773109923208,9.079386015993187,5.71248064969277,3.4968748540699814
3906,18.531596340695724,13.424252301571986,10.370051372091273,9.081058722060892,5.713470083425556,3.4973816286630113
3907,18.53605044565224,13.427412746478636,10.37237157448402,9.082731387320498,5.714459485204182,3.49788844002127
3908,18.54050447332336,13.4305731082247,10.374691706392992,9.084404011776584,5.715448855003338,3.498395288134793
3909,18.54495842368076,13.433733386768818,10.377011767800864,9.086076595433727,5.716438192797715,3.4989021729936134
3910,18.549412296696133,13.436893582069624,10.379331758690311,9.087749138296502,5.7174274985619995,3.499409094587766
3911,18.553866092341153,13.440053694085757,10.381651679044003,9.089421640369483,5.718416772270883,3.4999160529072846
3912,18.5583198105875,13.44321372277585,10.383971528844617,9.09109410165725,5.719406013899056,3.5004230479422036
3913,18.562773451406866,13.44637366809854,10.386291308074826,9.092766522164379,5.720395223421207,3.5009300796825578
3914,18.56722701477092,13.449533530012467,10.388611016717302,9.094438901895444,5.721384400812024,3.501437148118381
3915,18.57168050065135,13.452693308476263,10.390930654754719,9.096111240855025,5.722373546046199,3.5019442532397065
3916,18.57613390901984,13.455853003448567,10.393250222169753,9.097783539047697,5.72336265909842,3.5024513950365703
3917,18.58058723984807,13.459012614888014,10.395569718945074,9.099455796478036,5.724351739943378,3.5029585734990047
3918,18.58504049310772,13.462172142753241,10.39788914506336,9.101128013150618,5.725340788555761,3.5034657886170457
3919,18.589493668770473,13.465331587002886,10.400208500507281,9.102800189070019,5.72632980491026,3.5039730403807265
3920,18.593946766808006,13.468490947595583,10.40252778525951,9.104472324240817,5.727318788981564,3.5044803287800814
3921,18.59839978719201,13.47165022448997,10.404846999302723,9.106144418667588,5.728307740744361,3.5049876538051445
3922,18.60285272989416,13.474809417644682,10.407166142619594,9.107816472354909,5.729296660173343,3.505495015445951
3923,18.60730559488614,13.477968527018357,10.409485215192795,9.109488485307352,5.7302855472431995,3.506002413692534
3924,18.611758382139627,13.481127552569628,10.411804217005002,9.1111604575295,5.731274401928618,3.506509848534928
3925,18.61621109162631,13.484286494257137,10.414123148038886,9.112832389025929,5.7322632242042895,3.5070173199631673
3926,18.62066372331787,13.487445352039515,10.416442008277121,9.11450427980121,5.733252014044904,3.507524827967287
3927,18.62511627718598,13.490604125875402,10.418760797702381,9.116176129859921,5.734240771425149,3.5080323725373197
3928,18.62956875320233,13.493762815723432,10.421079516297342,9.117847939206642,5.735229496319716,3.5085399536633006
3929,18.6340211513386,13.496921421542243,10.423398164044674,9.119519707845946,5.736218188703295,3.5090475713352642
3930,18.638473471566478,13.500079943290471,10.42571674092705,9.12119143578241,5.737206848550574,3.5095552255432434
3931,18.64292571385763,13.503238380926753,10.428035246927148,9.122863123020615,5.7381954758362435,3.510062916277274
3932,18.64737787818375,13.506396734409723,10.43035368202764,9.12453476956513,5.739184070534992,3.5105706435273896
3933,18.651829964516516,13.50955500369802,10.432672046211199,9.126206375420535,5.740172632621509,3.511078407283624
3934,18.65628197282761,13.512713188750281,10.434990339460496,9.127877940591407,5.741161162070487,3.511586207536012
3935,18.660733903088712,13.515871289525139,10.43730856175821,9.129549465082324,5.742149658856611,3.5120940442745874
3936,18.66518575527151,13.519029305981233,10.43962671308701,9.131220948897857,5.743138122954575,3.512601917489385
3937,18.669637529347675,13.5221872380772,10.441944793429572,9.132892392042587,5.744126554339066,3.513109827170438
3938,18.6740892252889,13.525345085771672,10.44426280276857,9.134563794521089,5.745114952984774,3.5136177733077814
3939,18.678540843066855,13.52850284902329,10.446580741086676,9.13623515633794,5.746103318866389,3.51412575589145
3940,18.682992382653232,13.53166052779069,10.448898608366566,9.137906477497715,5.7470916519586,3.514633774911476
3941,18.68744384401971,13.534818122032506,10.45121640459091,9.13957775800499,5.748079952236096,3.515141830357896
3942,18.691895227137973,13.537975631707377,10.453534129742385,9.141248997864345,5.7490682196735685,3.515649922220743
